ntrt=53																																																				
nind=236																																																				
miss=N																																																				
																																																				
Pheno1																																																				
Pheno2																																																				
Pheno3																																																				
Pheno4																																																				
Pheno5																																																				
Pheno6																																																				
Pheno7																																																				
Pheno8																																																				
Pheno9																																																				
Pheno10																																																				
Pheno11																																																				
Pheno12																																																				
Pheno13																																																				
Pheno14																																																				
Pheno15																																																				
Pheno16																																																				
Pheno17																																																				
Pheno18																																																				
Pheno19																																																				
Pheno20																																																				
Pheno21																																																				
Pheno22																																																				
Pheno23																																																				
Pheno24																																																				
Pheno25																																																				
Pheno26																																																				
Pheno27																																																				
Pheno28																																																				
Pheno29																																																				
Pheno30																																																				
Pheno31																																																				
Pheno32																																																				
Pheno33																																																				
Pheno34																																																				
Pheno35																																																				
Pheno36																																																				
Pheno37																																																				
Pheno38																																																				
Pheno39																																																				
Pheno40																																																				
Pheno41																																																				
Pheno42																																																				
Pheno43																																																				
Pheno44																																																				
Pheno45																																																				
Pheno46																																																				
Pheno47																																																				
Pheno48																																																				
Pheno49																																																				
Pheno50																																																				
Pheno51																																																				
Pheno52																																																				
Pheno53																																																				
																																																				
4	7	6.7	7	6.7	4	183.1	11.9	1.1	1.2	1.9	0.3	170.9	11.4	0.8	1.1	1.9	0.2	186.5	12	1.3	1.5	2.2	2.2	0.6	0.6	0.6	50.6	49.7	48.8	62.5	62.1	59.7	72.6	72.6	70.5	19.3	19.3	18.2	36.1	36.6	38.2	8.6	8.5	8.4	154.2	1	1	1	22	21	16	4
N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	0	1	1	1	N
4	6.7	6	5.3	5.3	2.9	192.7	10.8	1	1	1.5	0.4	194.9	11.3	1.2	1.6	1.4	0.3	205	10.7	1	0.8	1.8	1.8	0.7	0.6	0.6	39.8	39.4	40.4	22.4	22.6	25.9	73.7	73.7	70.8	14.9	14.9	15.6	52.5	51.8	52.6	8.2	8.2	7.2	172.7	0.7	0.3	1	27	27	27	2.92857143
4	4.3	6.7	6.7	6.7	2.9	120.8	7.5	1	0.8	0.8	0.3	125.9	8.1	0.7	0.9	1.1	0.3	132.5	6.7	1	0.2	0.5	0.5	0.5	0.5	0.5	38.2	38	39.5	20.6	20.8	23.4	29.7	29.7	39	12.8	12.8	13	26.5	27.1	30.3	6.1	6.3	5.7	87.3	0.5	0.4	0	19	16	16	3.33333333
N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	1	1	1	2	N
N	N	N	N	N	2.8	204.6	9.3	0.8	1.1	1.5	0.1	180.1	9.4	0.8	1.2	1.3	0.1	193.6	8.7	0.3	1	1.4	1.4	0.4	0.4	0.4	23.1	23.7	27.1	44.1	44.1	45.2	49.6	49.6	53.2	11.9	11.9	12.1	38.3	38.7	40	7.1	7.1	5.1	161.3	0	0.5	1	6	6	12	3.125
N	N	N	N	N	1.9	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	0	1	1	1	3.42857143
N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	0	6	2	1	N
5	6.3	7	6.7	7.3	3	204.1	9.5	1.1	1.3	0.9	0.1	183.1	9.6	1.1	1.4	1.1	0.2	212.5	10	1	1.2	0.8	0.8	0.5	0.5	0.5	34.9	34.9	36.3	41.1	41.1	43.4	63.2	63.2	62.4	14.1	14.1	15	57.8	57.4	56.9	8.3	8.1	6.4	180.2	0.7	0.7	0	18	17	17	3
4	6	6	6.3	6.3	3.7	179.6	8.4	1.1	1.8	1	0.1	182.2	8	1	1.2	0.9	0.1	151.4	8.2	0.8	1.5	1.1	1.1	0.3	0.3	0.3	31.3	31.6	33.1	49.1	49.1	50.8	76.3	76.3	72.4	7.4	7.4	8.3	32.9	33.5	34.2	7.3	7.2	4.7	119.1	0.5	1	1	27	27	27	4
4	5.3	7.3	7.3	7.3	3.6	193.8	7.8	0.3	0.5	1.6	0.2	137.7	7.1	0.3	0.6	1.2	0.2	201.5	8.1	0.3	0.5	1.8	1.8	0.7	0.7	0.6	32	32.2	34.4	35.7	35.7	35.8	77.9	77.9	76.1	8.6	8.6	8.4	59.4	59	60.1	8.9	8.9	10	149.9	0.4	0.9	1	16	14	18	4
4.3	7	7	7	7	4	170.6	8.8	0.4	1.2	1.4	0.5	134.6	7.8	0.4	0.9	1.2	0.3	193.3	12.3	0.7	2	2	2	0.6	0.5	0.5	35.3	35.3	37	58.5	58.3	57.1	84	84	81.1	20.9	20.9	20.8	56	55.8	57.7	9.6	9.7	11.5	154.9	0.5	1.7	0	10	10	20	4
N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	0	7	6	6	N
N	N	N	N	N	1.3	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	1	1	1	1	2.125
6	6	6	6	6	2.3	127.4	11.1	0.4	0.6	2.4	0.4	177.7	10.3	0.4	0.7	2.2	0.2	125	13.5	0.5	1	2.8	2.8	0.5	0.5	0.5	29.8	30	30.9	35.5	35.5	35.9	53.7	53.7	56.5	29.2	29.2	29.3	49	48.9	48.2	8.2	8	7.1	48.1	0.2	0.7	0	10	10	18	4
5.2	7.2	8	7.7	7.7	2.9	235.6	10.2	1.2	1.6	1.2	0.1	200.5	9.1	1.1	1.5	1	0.1	252.7	10.9	1	1.5	1.5	1.5	0.4	0.4	0.4	28.9	28.9	31.7	36.1	36.1	39	75	75	71.3	9.7	9.7	10.6	52.8	52.1	52.4	8.2	8.2	7.3	220.5	0.7	1	1	17	16	16	3.61111111
